,Site,Grainsize,Perm_Population,Por_Population,Perm_measure1,Perm_measure2,Perm_measure3,Perm_measure4,Perm_measure5,Por_measure1,Por_measure2,Por_measure3,Por_measure4
1401,FD03,F,3390.0,19.0,5221.0,2925.0,2629.0,2974.0,,20.0,20.0,18.0,22.0
1402,FD04,F,462.0,27.0,484.0,475.0,380.0,547.0,,28.0,28.0,32.0,28.0
1403,FD02,F,2062.0,18.0,2993.0,2056.0,2309.0,,,19.0,16.0,,
1404,FD03,F,2631.0,23.0,2366.0,3694.0,3681.0,4024.0,,22.0,25.0,,
1405,FD07,F,2267.0,26.0,2563.0,2226.0,2402.0,,,25.0,29.0,30.0,
1406,FD04,F,80.0,24.0,80.0,90.0,74.0,,,25.0,21.0,23.0,25.0
1407,FD02,F,803.0,24.0,755.0,902.0,856.0,979.0,,22.0,23.0,27.0,24.0
1408,FD04,F,865.0,8.0,773.0,837.0,1252.0,1414.0,781.0,8.0,9.0,,
1409,FD02,F,3061.0,24.0,3120.0,4043.0,2938.0,,,27.0,25.0,28.0,21.0
1410,FD03,F,3514.0,26.0,5310.0,3828.0,3095.0,4878.0,,25.0,25.0,29.0,25.0
1411,FD05,F,2028.0,23.0,2624.0,1435.0,2167.0,2244.0,,24.0,26.0,,
1412,FD05,F,155.0,5.0,178.0,131.0,137.0,132.0,,4.0,5.0,5.0,
1413,FD07,F,1510.0,33.0,2154.0,1741.0,1348.0,,,34.0,30.0,,
1414,FD05,F,1099.0,21.0,1359.0,805.0,,,,24.0,22.0,,
1415,FD03,F,303.0,10.0,277.0,259.0,307.0,,,12.0,8.0,,
1416,FD05,F,4672.0,8.0,3712.0,3843.0,5067.0,4945.0,,7.0,8.0,7.0,9.0
1417,FD03,F,369.0,24.0,343.0,441.0,365.0,327.0,,23.0,29.0,,
1418,FD05,F,2103.0,16.0,2428.0,2271.0,,,,15.0,14.0,17.0,
1419,FD05,F,916.0,20.0,1203.0,662.0,735.0,,,21.0,25.0,20.0,18.0
1420,FD07,F,301.0,26.0,312.0,307.0,249.0,285.0,,30.0,29.0,30.0,28.0
1421,FD06,F,57.0,25.0,56.0,63.0,55.0,,,24.0,26.0,29.0,27.0
1422,FD05,F,276.0,27.0,338.0,239.0,273.0,,,27.0,25.0,,
1423,FD05,F,374.0,14.0,241.0,448.0,373.0,419.0,,12.0,12.0,15.0,15.0
1424,FD03,F,151.0,21.0,137.0,164.0,130.0,,,21.0,23.0,,
1425,FD03,F,149.0,18.0,168.0,196.0,,,,18.0,17.0,20.0,15.0
1426,FD05,F,124.0,29.0,121.0,115.0,,,,27.0,29.0,32.0,
1427,FD03,F,1169.0,11.0,812.0,1343.0,1190.0,,,12.0,11.0,13.0,11.0
1428,FD03,F,2962.0,22.0,4574.0,4475.0,2881.0,3367.0,,17.0,22.0,,
1429,FD06,F,275.0,24.0,284.0,266.0,332.0,,,24.0,24.0,,
1430,FD04,F,169.0,28.0,154.0,152.0,171.0,,,25.0,26.0,30.0,31.0
1431,FD05,F,93.0,37.0,89.0,87.0,102.0,,,27.0,38.0,,
1432,FD06,F,3084.0,19.0,2624.0,2545.0,2548.0,3480.0,,18.0,17.0,16.0,
1433,FD05,F,123.0,14.0,136.0,108.0,152.0,,,16.0,12.0,15.0,14.0
1434,FD03,F,162.0,30.0,177.0,166.0,140.0,,,33.0,32.0,34.0,30.0
1435,FD03,F,227.0,18.0,207.0,276.0,233.0,,,16.0,16.0,18.0,22.0
1436,FD05,F,11.0,25.0,10.0,11.0,10.0,,,24.0,23.0,23.0,22.0
1437,FD05,F,1729.0,29.0,1524.0,1241.0,1046.0,,,31.0,32.0,,
1438,FD05,F,220.0,24.0,168.0,229.0,277.0,168.0,,27.0,27.0,21.0,23.0
1439,FD05,F,282.0,44.0,209.0,348.0,241.0,,,39.0,48.0,42.0,43.0
1440,FD05,F,179.0,22.0,205.0,185.0,,,,22.0,22.0,23.0,25.0
1441,FD05,F,113.0,23.0,100.0,121.0,,,,22.0,24.0,,
1442,FD04,F,1329.0,25.0,1685.0,1796.0,1435.0,,,22.0,25.0,25.0,27.0
1443,FD02,F,113.0,21.0,117.0,124.0,97.0,125.0,122.0,21.0,17.0,,
1444,FD05,F,6216.0,19.0,8108.0,7871.0,3962.0,,,22.0,17.0,17.0,
1445,FD04,F,1611.0,31.0,2159.0,1517.0,1225.0,2564.0,,32.0,32.0,,
1446,FD06,F,70.0,26.0,80.0,85.0,72.0,,,24.0,28.0,,
1447,FD01,F,252.0,10.0,190.0,279.0,279.0,,,10.0,11.0,10.0,9.0
1448,FD02,F,192.0,20.0,170.0,126.0,176.0,,,19.0,22.0,26.0,19.0
1449,FD05,F,153.0,23.0,100.0,144.0,143.0,,,24.0,27.0,26.0,22.0
1450,FD06,F,791.0,10.0,649.0,728.0,562.0,,,10.0,11.0,10.0,11.0
1451,FD02,F,438.0,28.0,424.0,393.0,487.0,,,34.0,26.0,32.0,27.0
1452,FD05,F,248.0,29.0,214.0,207.0,,,,28.0,26.0,,
1453,FD05,F,941.0,19.0,845.0,573.0,1143.0,1039.0,,18.0,18.0,20.0,
1454,FD07,F,681.0,20.0,818.0,839.0,847.0,,,22.0,21.0,20.0,19.0
1455,FD07,F,45.0,17.0,41.0,51.0,43.0,,,17.0,16.0,,
1456,FD06,F,236.0,12.0,268.0,195.0,238.0,,,13.0,12.0,12.0,10.0
1457,FD02,F,225.0,20.0,242.0,246.0,225.0,,,20.0,16.0,,
1458,FD04,F,671.0,13.0,849.0,549.0,608.0,680.0,,11.0,13.0,13.0,11.0
1459,FD04,F,644.0,23.0,600.0,774.0,425.0,,,21.0,21.0,,
1460,FD06,F,280.0,12.0,411.0,234.0,374.0,,,13.0,11.0,11.0,
1461,FD05,F,1997.0,16.0,2311.0,2023.0,3289.0,,,13.0,11.0,14.0,
1462,FD04,F,216.0,19.0,209.0,204.0,242.0,,,20.0,19.0,20.0,18.0
1463,FD06,F,162.0,32.0,180.0,191.0,147.0,,,28.0,28.0,31.0,30.0
1464,FD05,F,1197.0,31.0,1580.0,1381.0,903.0,789.0,,26.0,35.0,32.0,28.0
1465,FD05,F,1135.0,27.0,1207.0,1186.0,,,,26.0,24.0,27.0,29.0
1466,FD06,F,1330.0,24.0,2012.0,1358.0,,,,25.0,22.0,,
1467,FD04,F,608.0,24.0,491.0,552.0,520.0,,,24.0,22.0,,
1468,FD03,F,112.0,15.0,119.0,111.0,,,,15.0,14.0,15.0,15.0
1469,FD04,F,1186.0,26.0,1130.0,1381.0,1188.0,1350.0,,22.0,26.0,27.0,
1470,FD05,F,372.0,15.0,449.0,365.0,460.0,286.0,,12.0,14.0,16.0,
1471,FD05,F,171.0,17.0,145.0,182.0,163.0,162.0,,16.0,15.0,16.0,16.0
1472,FD06,F,277.0,41.0,270.0,218.0,209.0,,,48.0,37.0,38.0,
1473,FD06,F,3565.0,16.0,3152.0,3843.0,2441.0,,,14.0,17.0,15.0,15.0
1474,FD07,F,395.0,24.0,496.0,502.0,398.0,584.0,,24.0,24.0,,
1475,FD07,F,262.0,27.0,238.0,291.0,259.0,261.0,,30.0,26.0,,
1476,FD07,F,358.0,28.0,387.0,364.0,363.0,,,25.0,30.0,25.0,
1477,FD05,F,664.0,24.0,735.0,558.0,434.0,644.0,,23.0,23.0,25.0,21.0
1478,FD03,F,302.0,17.0,271.0,201.0,304.0,315.0,,17.0,18.0,18.0,
1479,FD01,F,423.0,17.0,355.0,427.0,378.0,,,19.0,15.0,16.0,
1480,FD06,F,123.0,26.0,138.0,96.0,128.0,,,24.0,27.0,27.0,26.0
1481,FD07,F,93.0,28.0,78.0,93.0,90.0,,,33.0,30.0,29.0,
1482,FD03,F,2283.0,27.0,1871.0,2053.0,2145.0,,,26.0,29.0,,
1483,FD02,F,739.0,22.0,691.0,454.0,601.0,,,22.0,19.0,,
1484,FD07,F,637.0,23.0,640.0,631.0,483.0,,,22.0,22.0,23.0,20.0
1485,FD05,F,4631.0,15.0,6479.0,4338.0,,,,14.0,14.0,,
1486,FD01,F,542.0,18.0,590.0,626.0,457.0,593.0,,19.0,18.0,16.0,18.0
1487,FD03,F,8266.0,19.0,8513.0,18770.0,7590.0,,,19.0,19.0,16.0,19.0
1488,FD05,F,550.0,18.0,501.0,691.0,607.0,553.0,,19.0,19.0,22.0,19.0
1489,FD01,F,29.0,21.0,31.0,27.0,28.0,31.0,,20.0,25.0,22.0,22.0
1490,FD05,F,,19.0,,,,,,21.0,19.0,21.0,
1491,FD02,F,1818.0,18.0,1547.0,1825.0,1626.0,,,18.0,16.0,17.0,17.0
1492,FD06,F,204.0,19.0,184.0,272.0,213.0,,,18.0,17.0,19.0,16.0
1493,FD05,F,2382.0,25.0,1945.0,2702.0,2220.0,,,24.0,24.0,24.0,24.0
1494,FD02,F,930.0,29.0,1437.0,720.0,572.0,950.0,,34.0,28.0,24.0,
1495,FD01,F,24629.0,29.0,16202.0,26866.0,22610.0,,,27.0,28.0,35.0,27.0
1496,FD05,F,17765.0,23.0,15967.0,21181.0,19147.0,,,23.0,24.0,26.0,24.0
1497,FD02,F,65.0,25.0,71.0,63.0,58.0,,,26.0,24.0,,
1498,FD05,F,29.0,27.0,33.0,30.0,30.0,33.0,34.0,23.0,28.0,30.0,29.0
1499,FD05,F,3236.0,20.0,2453.0,1943.0,5208.0,3965.0,,23.0,19.0,19.0,
1500,FD03,F,276.0,30.0,285.0,268.0,,,,31.0,26.0,27.0,29.0
1501,FD05,F,4912.0,34.0,4277.0,4451.0,,,,36.0,31.0,32.0,33.0
1502,FD06,F,273.0,12.0,289.0,312.0,302.0,244.0,,12.0,12.0,12.0,11.0
1503,FD05,F,54.0,33.0,47.0,51.0,47.0,56.0,,29.0,35.0,33.0,
1504,FD04,F,2069.0,25.0,2548.0,1323.0,2861.0,2456.0,,22.0,23.0,26.0,23.0
1505,FD06,F,743.0,24.0,785.0,693.0,,,,28.0,25.0,24.0,
1506,FD04,F,646.0,25.0,733.0,750.0,561.0,706.0,,27.0,24.0,32.0,
1507,FD01,F,5350.0,19.0,5975.0,6668.0,4079.0,5704.0,,13.0,18.0,21.0,23.0
1508,FD07,F,241.0,27.0,214.0,226.0,,,,26.0,30.0,,
1509,FD04,F,157.0,16.0,176.0,189.0,174.0,,,18.0,17.0,,
1510,FD03,F,79.0,15.0,68.0,81.0,98.0,86.0,,13.0,17.0,,
1511,FD06,F,692.0,16.0,850.0,1119.0,503.0,818.0,,15.0,16.0,16.0,17.0
1512,FD04,F,1227.0,19.0,1354.0,1112.0,1377.0,,,21.0,19.0,17.0,20.0
1513,FD05,F,241.0,24.0,215.0,294.0,,,,25.0,22.0,20.0,
1514,FD05,F,1417.0,15.0,1096.0,1848.0,1427.0,,,15.0,15.0,,
1515,FD07,F,141.0,30.0,133.0,139.0,,,,30.0,28.0,36.0,
1516,FD03,F,472.0,24.0,656.0,488.0,413.0,,,26.0,24.0,,
1517,FD06,F,391.0,30.0,289.0,373.0,390.0,,,31.0,29.0,28.0,
1518,FD03,F,141.0,33.0,151.0,153.0,161.0,151.0,,39.0,33.0,33.0,35.0
1519,FD07,F,276.0,24.0,296.0,367.0,430.0,,,24.0,26.0,23.0,26.0
1520,FD05,F,389.0,22.0,417.0,319.0,282.0,,,20.0,21.0,24.0,18.0
1521,FD04,F,1131.0,27.0,831.0,926.0,1031.0,,,23.0,26.0,27.0,
1522,FD05,F,841.0,31.0,908.0,1028.0,649.0,,,27.0,34.0,33.0,30.0
1523,FD04,F,1307.0,15.0,1323.0,1212.0,1243.0,,,18.0,17.0,16.0,
1524,FD04,F,65.0,14.0,70.0,74.0,55.0,,,14.0,16.0,,
1525,FD07,F,4453.0,,5683.0,4746.0,3322.0,3151.0,6109.0,,,,
1526,FD05,F,77722.0,22.0,70041.0,83513.0,62093.0,65601.0,,20.0,22.0,20.0,
1527,FD07,F,84.0,15.0,81.0,81.0,91.0,87.0,,15.0,13.0,,
1528,FD05,F,78.0,28.0,85.0,97.0,73.0,69.0,,31.0,35.0,,
1529,FD05,F,545.0,19.0,470.0,542.0,566.0,,,20.0,16.0,,
1530,FD05,F,173.0,23.0,171.0,185.0,152.0,,,25.0,23.0,,
1531,FD01,F,682.0,28.0,740.0,689.0,592.0,,,26.0,30.0,29.0,26.0
1532,FD07,F,172.0,9.0,139.0,169.0,176.0,,,9.0,10.0,,
1533,FD05,F,180.0,17.0,205.0,173.0,156.0,,,16.0,18.0,17.0,17.0
1534,FD07,F,621.0,23.0,615.0,368.0,448.0,479.0,,22.0,23.0,24.0,25.0
1535,FD04,F,586.0,28.0,433.0,570.0,852.0,549.0,,26.0,21.0,,
1536,FD07,F,167.0,14.0,180.0,116.0,149.0,,,15.0,17.0,14.0,
1537,FD01,F,224.0,27.0,216.0,197.0,191.0,,,27.0,24.0,25.0,
1538,FD05,F,844.0,26.0,555.0,849.0,1007.0,,,23.0,27.0,25.0,29.0
1539,FD05,F,837.0,20.0,653.0,1017.0,1006.0,,,21.0,15.0,23.0,20.0
1540,FD03,F,494.0,14.0,389.0,637.0,,,,14.0,12.0,13.0,14.0
1541,FD06,F,408.0,11.0,327.0,454.0,359.0,411.0,,10.0,10.0,10.0,
1542,FD05,F,185.0,27.0,189.0,193.0,174.0,,,28.0,24.0,22.0,27.0
1543,FD01,F,782.0,28.0,914.0,879.0,864.0,,,26.0,28.0,26.0,
1544,FD03,F,81.0,24.0,80.0,69.0,70.0,,,19.0,25.0,21.0,
1545,FD07,F,16.0,16.0,15.0,16.0,16.0,,,17.0,15.0,16.0,
1546,FD03,F,355.0,21.0,289.0,428.0,381.0,396.0,,24.0,20.0,22.0,23.0
1547,FD04,F,271.0,12.0,218.0,315.0,250.0,270.0,,11.0,13.0,13.0,13.0
1548,FD07,F,264.0,21.0,318.0,421.0,305.0,,,26.0,18.0,20.0,23.0
1549,FD07,F,871.0,37.0,890.0,723.0,812.0,,,34.0,40.0,36.0,
1550,FD01,F,606.0,26.0,531.0,704.0,758.0,,,26.0,28.0,21.0,
1551,FD02,F,3742.0,25.0,4357.0,3504.0,2866.0,,,24.0,26.0,26.0,
1552,FD03,F,4277.0,13.0,4646.0,3576.0,5710.0,,,13.0,14.0,13.0,
1553,FD03,F,589.0,12.0,594.0,640.0,646.0,,,13.0,11.0,,
1554,FD07,F,866.0,13.0,843.0,564.0,719.0,,,13.0,10.0,13.0,
1555,FD04,F,427.0,17.0,348.0,315.0,,,,18.0,17.0,,
1556,FD04,F,224.0,11.0,182.0,257.0,236.0,,,13.0,12.0,11.0,12.0
1557,FD03,F,624.0,24.0,592.0,685.0,627.0,,,26.0,25.0,21.0,24.0
1558,FD05,F,1794.0,19.0,1842.0,2403.0,2022.0,,,19.0,18.0,24.0,23.0
1559,FD05,F,1369.0,12.0,1245.0,1365.0,1554.0,1148.0,,13.0,11.0,12.0,
1560,FD06,F,2215.0,21.0,2009.0,1839.0,1953.0,,,22.0,21.0,,
1561,FD07,F,3361.0,23.0,4246.0,3290.0,4627.0,2907.0,,25.0,24.0,,
1562,FD01,F,666.0,25.0,549.0,796.0,1012.0,722.0,545.0,23.0,29.0,24.0,25.0
1563,FD05,F,19.0,27.0,17.0,20.0,20.0,,,22.0,24.0,30.0,28.0
1564,FD05,F,17.0,23.0,17.0,19.0,18.0,21.0,,21.0,22.0,,
1565,FD05,F,63.0,,65.0,60.0,,,,,,,
1566,FD04,F,1451.0,19.0,1580.0,1795.0,1484.0,,,21.0,19.0,21.0,19.0
1567,FD07,F,632.0,28.0,710.0,648.0,641.0,871.0,,31.0,30.0,25.0,
1568,FD06,F,289.0,18.0,357.0,225.0,290.0,,,18.0,21.0,20.0,16.0
1569,FD07,F,5862.0,18.0,8043.0,4904.0,6853.0,,,19.0,18.0,,
1570,FD05,F,306.0,25.0,321.0,245.0,399.0,,,24.0,25.0,25.0,27.0
1571,FD03,F,248.0,19.0,303.0,262.0,206.0,,,24.0,20.0,,
1572,FD06,F,219.0,21.0,195.0,178.0,,,,21.0,24.0,,
1573,FD05,F,154.0,22.0,163.0,202.0,143.0,210.0,,23.0,21.0,18.0,22.0
1574,FD07,F,1329.0,20.0,1360.0,1354.0,,,,20.0,21.0,22.0,18.0
1575,FD05,F,976.0,13.0,972.0,819.0,807.0,1411.0,1300.0,13.0,13.0,12.0,12.0
1576,FD04,F,58.0,22.0,50.0,65.0,69.0,60.0,,21.0,23.0,,
1577,FD07,F,1760.0,31.0,1565.0,2625.0,1776.0,,,25.0,32.0,28.0,37.0
1578,FD05,F,72.0,30.0,72.0,68.0,84.0,,,32.0,32.0,36.0,31.0
1579,FD05,F,377.0,21.0,502.0,464.0,436.0,297.0,,20.0,19.0,19.0,19.0
1580,FD04,F,53.0,,49.0,51.0,,,,,,,
1581,FD02,F,260.0,22.0,234.0,206.0,,,,24.0,23.0,25.0,21.0
1582,FD06,F,447.0,21.0,406.0,491.0,424.0,668.0,,19.0,20.0,21.0,21.0
1583,FD03,F,2281.0,36.0,1540.0,2646.0,1767.0,2398.0,,42.0,39.0,,
1584,FD03,F,112.0,16.0,137.0,143.0,,,,16.0,13.0,16.0,15.0
1585,FD05,F,429.0,20.0,373.0,497.0,456.0,,,20.0,21.0,25.0,
1586,FD06,F,138.0,27.0,114.0,146.0,155.0,,,29.0,28.0,31.0,
1587,FD05,F,122.0,28.0,98.0,111.0,105.0,137.0,,25.0,28.0,24.0,29.0
1588,FD04,F,365.0,18.0,360.0,443.0,,,,18.0,19.0,21.0,18.0
1589,FD07,F,38.0,,36.0,34.0,35.0,41.0,,,,,
1590,FD03,F,34.0,17.0,28.0,31.0,36.0,,,15.0,16.0,,
1591,FD04,F,107.0,15.0,116.0,100.0,134.0,,,15.0,16.0,,
1592,FD05,F,2696.0,20.0,3215.0,2132.0,2948.0,,,18.0,21.0,19.0,
1593,FD05,F,1533.0,30.0,1594.0,1047.0,1935.0,1518.0,,31.0,29.0,25.0,26.0
1594,FD05,F,78.0,,85.0,70.0,,,,,,,
1595,FD06,F,131.0,30.0,159.0,121.0,123.0,127.0,,34.0,30.0,31.0,32.0
1596,FD05,F,225.0,18.0,198.0,213.0,218.0,218.0,224.0,18.0,20.0,,
1597,FD02,F,84.0,14.0,89.0,91.0,100.0,,,15.0,14.0,12.0,
1598,FD04,F,25.0,23.0,28.0,30.0,26.0,,,25.0,24.0,22.0,21.0
1599,FD07,F,1606.0,17.0,1492.0,1807.0,2244.0,1306.0,,18.0,17.0,17.0,18.0
1600,FD05,F,446.0,23.0,378.0,510.0,470.0,,,23.0,23.0,,
1601,FD05,F,81.0,19.0,67.0,79.0,74.0,,,18.0,20.0,19.0,18.0
1602,FD05,F,4387.0,26.0,4059.0,4424.0,2525.0,,,24.0,25.0,20.0,
1603,FD01,F,655.0,23.0,612.0,637.0,770.0,526.0,,22.0,22.0,,
1604,FD04,F,2059.0,14.0,2525.0,2343.0,,,,14.0,15.0,12.0,
1605,FD05,F,216.0,12.0,198.0,216.0,225.0,,,11.0,12.0,12.0,12.0
1606,FD02,F,1225.0,7.0,1018.0,845.0,1422.0,,,7.0,6.0,6.0,7.0
1607,FD04,F,381.0,25.0,471.0,295.0,,,,24.0,30.0,25.0,25.0
1608,FD05,F,72.0,12.0,66.0,66.0,74.0,,,13.0,12.0,11.0,
1609,FD02,F,5285.0,31.0,3087.0,9343.0,4824.0,,,28.0,30.0,32.0,31.0
1610,FD04,F,1671.0,22.0,2207.0,1579.0,1579.0,,,23.0,24.0,18.0,21.0
1611,FD07,F,475.0,24.0,554.0,453.0,,,,26.0,25.0,24.0,26.0
1612,FD04,F,2075.0,,1465.0,2024.0,,,,,,,
1613,FD04,F,165.0,21.0,154.0,151.0,140.0,161.0,,22.0,22.0,,
1614,FD02,F,424.0,15.0,394.0,553.0,365.0,378.0,,16.0,17.0,18.0,
1615,FD04,F,53.0,18.0,44.0,54.0,44.0,47.0,,15.0,18.0,20.0,15.0
1616,FD03,F,399.0,22.0,483.0,383.0,294.0,,,19.0,27.0,,
1617,FD05,F,73.0,12.0,68.0,80.0,72.0,,,11.0,11.0,12.0,
1618,FD06,F,272.0,26.0,236.0,281.0,332.0,,,24.0,26.0,27.0,
1619,FD06,F,229.0,21.0,264.0,223.0,246.0,288.0,,23.0,20.0,22.0,20.0
1620,FD05,F,1417.0,26.0,1219.0,1518.0,2006.0,1422.0,,30.0,28.0,27.0,24.0
1621,FD05,F,130.0,6.0,120.0,129.0,141.0,,,5.0,5.0,5.0,5.0
1622,FD05,F,72.0,12.0,68.0,65.0,86.0,,,12.0,10.0,12.0,11.0
1623,FD05,F,1406.0,24.0,1307.0,1157.0,983.0,,,21.0,25.0,,
1624,FD03,F,356.0,27.0,393.0,271.0,,,,32.0,35.0,27.0,
1625,FD05,F,86.0,26.0,88.0,68.0,76.0,,,22.0,24.0,28.0,27.0
1626,FD01,F,110.0,27.0,119.0,94.0,101.0,164.0,,28.0,25.0,,
1627,FD05,F,1025.0,24.0,1276.0,1337.0,730.0,,,26.0,25.0,,
1628,FD03,F,1203.0,22.0,1223.0,1464.0,1351.0,814.0,,22.0,21.0,22.0,24.0
1629,FD01,F,270.0,25.0,236.0,216.0,295.0,,,24.0,22.0,,
1630,FD04,F,324.0,11.0,288.0,386.0,290.0,393.0,,13.0,9.0,,
1631,FD02,F,1203.0,17.0,1270.0,1355.0,1225.0,1071.0,,17.0,17.0,,
1632,FD06,F,437.0,33.0,337.0,360.0,,,,37.0,32.0,38.0,28.0
1633,FD05,F,1651.0,19.0,1745.0,1624.0,2291.0,,,20.0,21.0,19.0,
1634,FD05,F,192.0,17.0,221.0,222.0,196.0,,,14.0,18.0,17.0,
1635,FD05,F,344.0,17.0,410.0,443.0,226.0,440.0,290.0,19.0,16.0,17.0,20.0
1636,FD03,F,678.0,20.0,559.0,666.0,,,,21.0,14.0,24.0,
1637,FD02,F,28572.0,28.0,21884.0,16767.0,19232.0,19222.0,,24.0,30.0,23.0,
1638,FD02,F,311.0,14.0,338.0,351.0,342.0,,,15.0,14.0,15.0,12.0
1639,FD06,F,160.0,26.0,146.0,144.0,158.0,,,20.0,28.0,30.0,25.0
1640,FD05,F,1060.0,17.0,1134.0,1148.0,,,,20.0,15.0,,
1641,FD05,F,157.0,,125.0,103.0,158.0,172.0,,,,,
1642,FD01,F,2174.0,29.0,2590.0,1714.0,2083.0,2155.0,,28.0,27.0,,
1643,FD04,F,1523.0,25.0,1311.0,1896.0,,,,26.0,22.0,27.0,25.0
1644,FD02,F,271.0,20.0,239.0,198.0,,,,17.0,20.0,18.0,21.0
1645,FD05,F,1337.0,18.0,931.0,1493.0,1041.0,,,18.0,17.0,15.0,19.0
1646,FD06,F,365.0,28.0,310.0,268.0,408.0,,,27.0,24.0,27.0,29.0
1647,FD01,F,103.0,22.0,112.0,88.0,90.0,,,21.0,22.0,25.0,19.0
1648,FD06,F,572.0,24.0,500.0,519.0,,,,22.0,24.0,26.0,25.0
1649,FD07,F,163.0,23.0,137.0,165.0,176.0,207.0,,24.0,25.0,,
1650,FD05,F,269.0,28.0,237.0,245.0,379.0,,,30.0,32.0,,
1651,FD05,F,313.0,16.0,184.0,239.0,263.0,298.0,,16.0,18.0,,
1652,FD04,F,847.0,28.0,842.0,782.0,740.0,661.0,,28.0,33.0,,
1653,FD05,F,4294.0,20.0,4916.0,5150.0,6786.0,,,20.0,17.0,,
1654,FD01,F,1026.0,18.0,915.0,1016.0,1428.0,,,20.0,18.0,,
1655,FD05,F,209.0,24.0,201.0,218.0,258.0,,,27.0,24.0,21.0,
1656,FD05,F,288.0,28.0,317.0,406.0,283.0,316.0,,29.0,29.0,21.0,25.0
1657,FD05,F,985.0,20.0,709.0,842.0,980.0,,,21.0,15.0,22.0,19.0
1658,FD04,F,691.0,33.0,799.0,778.0,992.0,879.0,645.0,29.0,32.0,,
1659,FD04,F,80.0,16.0,103.0,78.0,93.0,75.0,,16.0,14.0,,
1660,FD02,F,525.0,19.0,488.0,481.0,,,,22.0,20.0,17.0,17.0
1661,FD05,F,613.0,23.0,753.0,552.0,538.0,,,24.0,25.0,24.0,
1662,FD05,F,290.0,11.0,287.0,344.0,373.0,,,10.0,12.0,11.0,
1663,FD07,F,226.0,22.0,226.0,227.0,253.0,206.0,,21.0,22.0,,
1664,FD05,F,60.0,13.0,50.0,53.0,59.0,76.0,64.0,11.0,12.0,13.0,
1665,FD04,F,133.0,16.0,137.0,117.0,112.0,116.0,,16.0,20.0,18.0,
1666,FD07,F,162.0,23.0,138.0,150.0,149.0,,,27.0,20.0,,
1667,FD05,F,271.0,25.0,268.0,271.0,373.0,,,28.0,32.0,24.0,30.0
1668,FD02,F,123.0,28.0,132.0,167.0,121.0,,,27.0,30.0,,
1669,FD06,F,188.0,26.0,193.0,213.0,237.0,193.0,180.0,31.0,22.0,,
1670,FD05,F,1591.0,18.0,1628.0,1087.0,,,,18.0,20.0,19.0,17.0
1671,FD04,F,33.0,31.0,32.0,33.0,31.0,34.0,,29.0,33.0,32.0,32.0
1672,FD05,F,299.0,23.0,243.0,307.0,,,,24.0,23.0,24.0,21.0
1673,FD06,F,607.0,22.0,581.0,570.0,763.0,596.0,526.0,24.0,21.0,,
1674,FD04,F,654.0,16.0,720.0,537.0,836.0,653.0,,19.0,17.0,14.0,
1675,FD05,F,27.0,19.0,27.0,24.0,29.0,,,20.0,19.0,,
1676,FD04,F,392.0,23.0,421.0,388.0,,,,21.0,24.0,23.0,
1677,FD05,F,1120.0,24.0,929.0,1062.0,1317.0,,,24.0,20.0,,
1678,FD03,F,350.0,23.0,418.0,345.0,288.0,,,20.0,23.0,20.0,
1679,FD04,F,189.0,22.0,210.0,143.0,237.0,,,26.0,22.0,22.0,
1680,FD02,F,227.0,16.0,213.0,233.0,277.0,237.0,,18.0,16.0,17.0,16.0
1681,FD06,F,279.0,25.0,273.0,337.0,291.0,315.0,234.0,23.0,26.0,24.0,26.0
1682,FD03,F,2662.0,22.0,2971.0,2962.0,3943.0,,,19.0,22.0,20.0,
1683,FD04,F,552.0,24.0,692.0,532.0,424.0,738.0,,25.0,24.0,,
1684,FD03,F,11603.0,23.0,15800.0,9028.0,,,,24.0,28.0,25.0,
1685,FD05,F,780.0,20.0,712.0,940.0,,,,20.0,20.0,,
1686,FD06,F,259.0,28.0,194.0,323.0,283.0,,,30.0,35.0,,
1687,FD05,F,2335.0,24.0,2040.0,3493.0,3415.0,,,22.0,25.0,23.0,23.0
1688,FD05,F,4859.0,14.0,3828.0,4801.0,4675.0,7050.0,,15.0,15.0,15.0,14.0
1689,FD06,F,1232.0,19.0,886.0,1160.0,1440.0,,,17.0,22.0,,
1690,FD05,F,313.0,28.0,401.0,310.0,254.0,,,26.0,32.0,28.0,
1691,FD04,F,686.0,22.0,926.0,614.0,620.0,,,22.0,25.0,20.0,23.0
1692,FD06,F,263.0,21.0,342.0,232.0,310.0,290.0,,25.0,21.0,20.0,22.0
1693,FD03,F,3454.0,31.0,3631.0,4733.0,3446.0,,,30.0,30.0,29.0,30.0
1694,FD05,F,72.0,17.0,83.0,76.0,64.0,70.0,,16.0,19.0,18.0,17.0
1695,FD05,F,1945.0,16.0,2095.0,1597.0,,,,15.0,15.0,,
1696,FD02,F,488.0,14.0,498.0,566.0,464.0,,,13.0,13.0,,
1697,FD03,F,4671.0,26.0,5371.0,5844.0,4663.0,5252.0,,27.0,24.0,26.0,24.0
1698,FD06,F,585.0,24.0,580.0,685.0,592.0,,,24.0,23.0,27.0,
1699,FD05,F,155.0,26.0,169.0,141.0,190.0,131.0,,24.0,25.0,22.0,
1700,FD04,F,388.0,19.0,429.0,375.0,337.0,282.0,,18.0,18.0,,
1701,FD05,F,3234.0,17.0,2699.0,3205.0,5886.0,2680.0,2992.0,16.0,17.0,15.0,
1702,FD05,F,1359.0,15.0,1141.0,941.0,,,,14.0,13.0,13.0,
